ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
45,20020226_5.6Mw_18.16S_69.34W_87KM,2002-02-26 08:33:05.400,5.6,-18.16,-69.34,crustal,87,ARICA,-18.4824,-70.3134,138.8111327,108.9112717,138.8111327,108.9112717,387,10
46,20020226_5.6Mw_18.16S_69.34W_87KM,2002-02-26 08:33:05.500,5.6,-18.16,-69.34,crustal,87,ARICA CERRO LA CRUZ,-18.4909,-70.3114,138.896525,109.0216214,138.896525,109.0216214,1132,4
47,20020226_5.6Mw_18.16S_69.34W_87KM,2002-02-26 08:33:05.900,5.6,-18.16,-69.34,crustal,87,ARICA CHACALLUTA,-18.3148,-70.3141,135.3783558,104.4379948,135.3783558,104.4379948,288,11
48,20020523_5.8Mw_32.06S_71.04W_40KM,2002-05-23 15:52:29.600,5.8,-32.06,-71.04,interface,40,PUENTE AMOLANAS,-31.1982,-71.6106,116.5558442,109.8244644,116.5558442,109.8244644,854,351
49,20020523_5.8Mw_32.06S_71.04W_40KM,2002-05-23 23:24:02.300,5.8,-32.06,-71.04,interface,40,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,124.2772293,118.0376359,124.2772293,118.0376359,477,0
50,20020618_6.3Mw_30.30S_71.12W_53KM,2002-06-18 13:56:36.600,6.3,-30.3,-71.12,interface,53,PUENTE AMOLANAS,-31.1982,-71.6106,121.7798959,110.1031457,121.7798959,110.1031457,854,351
51,20021112_5.1Mw_20.05S_68.27W_110KM,2002-11-12 13:07:08.700,5.1,-20.05,-68.27,interface,110,PICA,-20.4921,-69.3303,162.8220672,121.0971291,162.8220672,121.0971291,492,339
52,20030620_6.2Mw_30.25S_71.21W_38KM,2003-06-20 13:30:57.400,6.2,-30.25,-71.21,interface,38,PUENTE AMOLANAS,-31.1982,-71.6106,117.8622854,111.9049265,117.8622854,111.9049265,854,351
53,20030709_4.6Mw_32.24S_71.18W_28KM,2003-07-09 18:23:45.300,4.6,-32.24,-71.18,crustal,28,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,98.56823598,94.7173537,98.56823598,94.7173537,477,0
54,20040110_6Mw_30.33S_71.30W_48KM,2004-01-10 07:25:54.700,6,-30.33,-71.3,interface,48,PUENTE AMOLANAS,-31.1982,-71.6106,111.2477319,100.7418885,111.2477319,100.7418885,854,351
55,20040825_5.2Mw_20.35S_68.93W_103KM,2004-08-25 05:13:04.400,5.2,-20.35,-68.93,interface,103,PICA,-20.4921,-69.3303,112.114518,44.64153239,112.114518,44.64153239,492,339
56,20040828_6.4Mw_35.07S_70.12W_10KM,2004-08-28 09:51:25.000,6.4,-35.07,-70.12,crustal,10,CURICO,-34.9905,-71.2367,102.6912202,102.2843857,102.6912202,102.2843857,623,150
57,20040927_5.2Mw_32.21S_71.30W_30KM,2004-09-27 21:58:36.000,5.2,-32.21,-71.3,interface,30,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,99.32393341,94.91013176,99.32393341,94.91013176,477,0
58,20050313_5.2Mw_32.25S_71.25W_11KM,2005-03-13 20:39:15.600,5.2,-32.25,-71.25,crustal,11,VINA DEL MAR EL SALTO,-33.0472,-71.5099,92.28682667,91.70910394,92.28682667,91.70910394,260,0
59,20050318_5.4Mw_20.15S_68.20W_108KM,2005-03-18 01:36:15.900,5.4,-20.15,-68.2,interface,108,PICA,-20.4921,-69.3303,163.6190738,123.9674978,163.6190738,123.9674978,492,339
60,20050324_5.1Mw_20.09S_68.28W_95KM,2005-03-24 03:54:41.700,5.1,-20.09,-68.28,crustal,95,PICA,-20.4921,-69.3303,151.1058555,118.3944705,151.1058555,118.3944705,492,339
61,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:45:05.200,7.9,-19.32,-69.04,interface,111,ARICA CERRO LA CRUZ,-18.4909,-70.3114,195.5068775,162.3664258,178.8054767,136.982533,1132,4
62,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:45:15.700,7.9,-19.32,-69.04,interface,111,CALAMA,-22.4588,-68.9302,362.0395815,347.7024248,264.4003848,245.5140734,373,0
63,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 00:00:00.000,7.9,-19.32,-69.04,interface,111,CUYA,-19.1599,-70.1802,163.5557345,121.1834343,137.5237321,73.89839673,502,210
64,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:44:51.500,7.9,-19.32,-69.04,interface,111,IQUIQUE,-20.2141,-70.1377,186.9452173,151.7572305,138.5442924,81.54204932,449,9
65,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:45:27.300,7.9,-19.32,-69.04,interface,111,MEJILLONES,-23.103,-70.446,453.3631336,443.5495776,354.6658431,340.9638974,343,0
66,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:44:49.300,7.9,-19.32,-69.04,interface,111,PICA,-20.4921,-69.3303,172.5397804,133.2679104,110.7178621,29.89681225,492,339
67,20050613_7.9Mw_19.32S_69.04W_111KM,2005-06-13 22:45:04.200,7.9,-19.32,-69.04,interface,111,POCONCHILE,-18.4525,-70.0667,181.321932,144.6460532,172.4386902,128.3990055,533,170
68,20050626_4.9Mw_19.34S_70.06W_78KM,2005-06-26 00:53:59.100,4.9,-19.34,-70.06,interface,78,PISAGUA ETNA,-19.5951,-70.2107,84.37373268,32.36968486,84.37373268,32.36968486,750,0
69,20050705_4.8Mw_32.30S_71.10W_54KM,2005-07-05 16:06:30.100,4.8,-32.3,-71.1,interface,54,VINA DEL MAR EL SALTO,-33.0472,-71.5099,105.7803047,91.34808557,105.7803047,91.34808557,260,0
70,20050713_5.9Mw_17.28S_69.34W_84KM,2005-07-13 12:06:31.800,5.9,-17.28,-69.34,crustal,84,ARICA,-18.4824,-70.3134,187.1653356,168.378137,187.1653356,168.378137,387,10
71,20050713_5.9Mw_17.28S_69.34W_84KM,2005-07-13 12:06:38.100,5.9,-17.28,-69.34,crustal,84,ARICA CERRO LA CRUZ,-18.4909,-70.3114,187.7104071,168.9920178,187.7104071,168.9920178,1132,4
72,20050713_5.9Mw_17.28S_69.34W_84KM,2005-07-13 12:06:27.500,5.9,-17.28,-69.34,crustal,84,ARICA CHACALLUTA,-18.3148,-70.3141,174.7109305,154.2181812,174.7109305,154.2181812,288,11
73,20050713_5.9Mw_17.28S_69.34W_84KM,2005-07-13 12:06:28.500,5.9,-17.28,-69.34,crustal,84,POCONCHILE ETNA,-18.4525,-70.0667,171.8310974,150.904464,171.8310974,150.904464,511,4
74,20050813_5.9Mw_19.27S_68.31W_114KM,2005-08-13 02:40:02.400,5.9,-19.27,-68.31,crustal,114,PICA,-20.4921,-69.3303,205.3806399,172.394758,205.3806399,172.394758,492,339
75,20051017_5.6Mw_18.09S_69.28W_77KM,2005-10-17 19:23:21.700,5.6,-18.09,-69.28,crustal,77,ARICA,-18.4824,-70.3134,139.9520736,117.5795739,139.9520736,117.5795739,387,10
76,20051017_5.6Mw_18.09S_69.28W_77KM,2005-10-17 19:23:21.800,5.6,-18.09,-69.28,crustal,77,ARICA CERRO LA CRUZ,-18.4909,-70.3114,140.0785626,117.7319747,140.0785626,117.7319747,1132,4
77,20051017_5.6Mw_18.09S_69.28W_77KM,2005-10-17 19:23:21.100,5.6,-18.09,-69.28,crustal,77,ARICA CHACALLUTA,-18.3148,-70.3141,135.5068712,112.1845166,135.5068712,112.1845166,288,11
78,20051017_5.6Mw_18.09S_69.28W_77KM,2005-10-17 19:23:19.900,5.6,-18.09,-69.28,crustal,77,POCONCHILE ETNA,-18.4525,-70.0667,119.8152165,92.35743338,119.8152165,92.35743338,511,4
79,20060210_5.2Mw_32.21S_71.19W_34KM,2006-02-10 17:52:11.000,5.2,-32.21,-71.19,interface,34,VINA DEL MAR EL SALTO,-33.0472,-71.5099,103.0826079,97.57630639,103.0826079,97.57630639,260,0
80,20060210_5.2Mw_32.21S_71.19W_34KM,2006-02-10 14:54:26.000,5.2,-32.21,-71.19,interface,34,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,103.0826079,97.57630639,103.0826079,97.57630639,477,0
81,20060327_5.3Mw_20.28S_69.13W_59KM,2006-03-27 05:24:17.500,5.3,-20.28,-69.13,crustal,59,PICA,-20.4921,-69.3303,66.78621819,31.44156621,66.78621819,31.44156621,492,339
82,20060409_5.6Mw_20.13S_70.06W_34KM,2006-04-09 17:08:05.000,5.6,-20.13,-70.06,interface,34,ALTO HOSPICIO,-20.2651,-70.1006,37.36853295,15.54678055,37.36853295,15.54678055,589,246
83,20060409_5.6Mw_20.13S_70.06W_34KM,2006-04-09 20:51:06.800,5.6,-20.13,-70.06,interface,34,PICA,-20.4921,-69.3303,92.36468889,86.1098705,92.36468889,86.1098705,492,339
84,20060619_4.9Mw_32.33S_71.22W_42KM,2006-06-19 01:14:14.800,4.9,-32.33,-71.22,interface,42,VINA DEL MAR EL SALTO,-33.0472,-71.5099,93.71452343,84.05469955,93.71452343,84.05469955,260,0
85,20060619_4.9Mw_32.33S_71.22W_42KM,2006-06-19 23:20:56.000,4.9,-32.33,-71.22,interface,42,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,93.71452343,84.05469955,93.71452343,84.05469955,477,0
86,20061012_6.2Mw_31.12S_71.25W_37KM,2006-10-12 18:06:03.500,6.2,-31.12,-71.25,interface,37,PUENTE AMOLANAS,-31.1982,-71.6106,51.17585506,35.45786845,51.17585506,35.45786845,854,351
