B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
5.57 38.49 0.06 0.00
5.58 37.51 0.07 0.00
5.59 39.50 0.07 0.00
5.6 41.55 0.08 0.00
5.61 42.11 0.07 0.00
5.62 41.76 0.07 0.00
5.63 41.10 0.07 0.00
5.64 41.97 0.07 0.00
5.65 44.52 0.07 0.00
5.66 42.86 0.06 0.00
5.67 46.05 0.07 0.00
5.68 46.25 0.08 0.00
5.69 44.64 0.09 0.00
5.7 46.42 0.09 0.00
5.71 46.44 0.21 0.00
5.72 45.53 0.33 0.00
5.73 47.45 0.45 0.00
5.74 50.45 0.45 0.00
5.75 53.88 0.44 0.00
5.76 54.81 0.43 0.00
5.77 58.39 0.39 0.00
5.78 58.01 0.40 0.00
5.79 59.28 0.42 0.00
5.8 58.07 0.44 0.00
5.81 59.48 0.42 0.00
5.82 60.10 0.44 0.00
5.83 60.46 0.30 0.00
5.84 60.83 0.29 0.00
5.85 61.19 0.30 0.00
5.86 60.70 0.26 0.00
5.87 58.04 0.25 0.00
5.88 59.74 0.26 0.00
5.89 59.87 0.27 0.00
5.9 60.55 0.29 0.00
5.91 60.49 0.37 0.00
5.92 58.83 0.39 0.00
5.93 60.66 0.42 0.00
5.94 65.30 0.34 0.00
5.95 68.44 0.20 0.00
5.96 69.02 0.22 0.00
5.97 72.52 0.19 0.00
5.98 76.80 0.21 0.00
5.99 70.88 0.18 0.00
6 64.97 0.15 0.00
6.01 59.05 0.15 0.00
6.02 58.41 0.15 0.00
6.03 57.77 0.16 0.00
6.04 57.13 0.13 0.00
6.05 60.48 0.10 0.00
6.06 59.55 0.09 0.00
6.07 58.62 0.09 0.00
6.08 57.69 0.08 0.00
6.09 60.87 0.08 0.00
6.1 64.10 0.09 0.00
6.11 63.45 0.11 0.00
6.12 64.54 0.12 0.00
6.13 62.84 0.13 0.00
